"id","title","overview","backdrop_path","popularity","poster_path","runtime","release_date","vote_average","vote_count","createdAt","updatedAt"
385687,"Fast X","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.","/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg",7626.393,"/fiVW06jE7z9YnO4trhaMEdclSiC.jpg","142","2023-05-17",7.34,1836,"2023-06-21 14:43:09.314-04","2023-06-21 14:43:09.314-04"
603692,"John Wick: Chapter 4","With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","/1inZm0xxXrpRfN0LxwE2TXzyLN6.jpg",2864.933,"/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg","170","2023-03-22",7.896,3144,"2023-06-21 14:41:29.483-04","2023-06-21 14:41:29.483-04"
569094,"Spider-Man: Across the Spider-Verse","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.","/2I5eBh98Q4aPq8WdQrHdTC8ARhY.jpg",2068.003,"/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg","140","2023-05-31",8.684,1533,"2023-06-21 14:58:36.221-04","2023-06-21 14:58:36.221-04"
667538,"Transformers: Rise of the Beasts","When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.","/qWQSnedj0LCUjWNp9fLcMtfgadp.jpg",1681.302,"/gPbM0MK8CP8A174rmUwGsADNYKD.jpg","127","2023-06-06",7.224,361,"2023-06-21 14:43:59.194-04","2023-06-21 14:43:59.194-04"
697843,"Extraction 2","Tasked with extracting a family who is at the mercy of a Georgian gangster, Tyler Rake infiltrates one of the world's deadliest prisons in order to save them. But when the extraction gets hot, and the gangster dies in the heat of battle, his equally ruthless brother tracks down Rake and his team to Sydney, in order to get revenge.","/wRxLAw4l17LqiFcPLkobriPTZAw.jpg",1653.383,"/7gKI9hpEMcZUQpNgKrkDzJpbnNS.jpg","123","2023-06-12",7.87,563,"2023-06-21 14:39:53.692-04","2023-06-21 14:39:53.692-04"
298618,"The Flash","When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?","/7e9MVGg8efOhoA2R9XhZcGWTC5Z.jpg",1532.206,"/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg","144","2023-06-14",6.787,442,"2023-06-21 14:39:48.568-04","2023-06-21 14:39:48.568-04"
76600,"Avatar: The Way of Water","Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.","/8rpDcsfLJypbO6vREc0547VKqEv.jpg",1073.398,"/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg","192","2022-12-14",7.69,8673,"2023-06-21 14:41:44.429-04","2023-06-21 14:41:44.429-04"
447365,"Guardians of the Galaxy Vol. 3","Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.","/5YZbUmjbMa3ClvSW1Wj3D6XGolb.jpg",1016.895,"/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg","150","2023-05-03",8.091,2009,"2023-06-21 14:43:09.486-04","2023-06-21 14:43:09.486-04"
1010581,"My Fault","Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","/35OoC3JxHXrAOg4FAa2DrPCzUX9.jpg",968.495,"/w46Vw536HwNnEzOa7J24YH9DPRS.jpg","117","2023-06-08",8.371,677,"2023-06-21 14:39:46.056-04","2023-06-21 14:39:46.056-04"
447277,"The Little Mermaid","The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.","/ip7DmvAIIKDk0mZ7IGrxI6ZL6pQ.jpg",958.386,"/ym1dxyOk4jFcSl4Q2zmRrA5BEEN.jpg","135","2023-05-18",6.157,711,"2023-06-21 14:42:20.888-04","2023-06-21 14:42:20.888-04"
